userID,view-doc,doc-view-modal-close-clicked,serp-to-myfolder,get-doc,my-folder-to-serp,serp-paging,saved-search-title-clicked,search-query-issued,myfolder-query-issued,load-more-saved-records-clicked,load-more-saved-search-clicked,search-history-title-clicked,load-more-search-history-clicked,saved-records-tab-clicked,search-history-tab-cicked,saved-searches-tab-clicked,saved-document,removed-saved-document,batch-save-doc-with-label,save-search-from-serp,remove-doc-label,add-doc-label-existing,add-doc-label-new,batch-add-label-from-saved-records,batch-remove-label-from-saved-records,batch-remove-saved-document,removed-saved-searches,batch-remove-saved-search,removed-search-history,save-search-history-from-history,batch-remove-search-history,batch-save-search-history,view-doc-workspace,get-doc-workspace,doc-view-modal-close-clicked-workspace,label-filter-clicked,label-filter-cleared
6187fbf81e307ec1baf5c8ad,10,10,0,0,0,0,1,10,0,0,0,0,0,0,0,1,13,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618843e71e307ec1baf5d1f0,5,5,0,2,0,3,0,1,0,0,0,0,0,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618879e31e307ec1baf5d678,5,5,0,0,0,1,0,16,1,0,0,0,0,0,0,1,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6189402b1e307ec1baf5e204,4,4,0,0,5,8,0,1,2,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
618c70bd1e307ec1baf5ef15,9,10,0,1,1,0,0,11,0,0,0,0,0,0,0,3,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618d6d7f1e307ec1baf5ff33,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61912aa91e307ec1baf61b81,6,6,0,1,0,20,0,2,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6199d5b01e307ec1baf68fb0,6,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619b35fa1e307ec1baf6a80f,1,1,0,1,0,0,0,4,0,0,0,0,0,3,0,6,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619da4f21e307ec1baf6ae29,6,6,0,1,0,2,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619ec9ce1e307ec1baf6b658,12,12,0,0,0,2,0,3,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619ff6091e307ec1baf6c1db,10,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61a1419f1e307ec1baf6cab8,0,0,0,4,0,5,0,1,3,0,0,0,0,2,0,3,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61a25d0a1e307ec1baf6d8d8,26,61,0,246,4,7,0,9,0,0,0,1,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
61a2959c1e307ec1baf75988,5,7,0,0,2,14,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
